SigmaEL	SigmaET	SigmaAlphaL	SigmaAlphaT	SigmaAlphaBarL	SigmaAlphaBarT	SigmaKappaL	SigmaKappaT	basis_angle	rhoH	S	Ttt	Txx	Tyy	rho	EInternal	T	Ax	Ay	Gx	Gy	mu
471.56458543840284	3.198800512131758e-08	1.3741076153697231	9.299512927838023e-11	1.3741076153618097	9.376387135091226e-11	0.004012571946834537	2.7257273432242767e-13	0	0.3002603919798978	1.096385028852689	-0.2159408430710444	0.10829624744980736	0.1082962000805771	0.3010642926976431	0.2159408430710444	0.0008000000000000014	0.2	0.2	0.2	0.2	3.4440537714234423
282.50033907697826	1.2276760897316026e-09	1.0317155818936883	4.4612106264874154e-12	1.0317155819090573	3.913857414493484e-12	0.0037813375558044936	1.4197154331393051e-14	0	0.30147362796426985	1.1016488624024259	-0.2163972098897452	0.10852465557799748	0.10852464774949769	0.30150015011048076	0.2163972098897452	0.000999999999999994	0.2	0.2	0.2	0.2	3.4390600442094232
270.90014219342936	1.0712691658418295e-08	1.4895734635522526	5.915593243031852e-11	1.4895734635783762	5.804718474567568e-11	0.008221029538377457	3.2051749075802583e-13	0	0.3025499899758699	1.1095361381156579	-0.2175069410989159	0.10907967554446255	0.10907966783588915	0.30256073410595313	0.2175069410989159	0.0014999999999999907	0.2	0.2	0.2	0.2	3.4266076330964865
267.8911736408384	6.459853561808151e-10	1.9711302802879105	4.8225601818004955e-12	1.9711302803248203	4.966289826087329e-12	0.014558020275275498	3.7050215607180316e-14	0	0.3036171988185913	1.1174029339819587	-0.21862385619032473	0.10963827897062911	0.10963827138594569	0.30362451987897543	0.21862385619032473	0.0019999999999999944	0.2	0.2	0.2	0.2	3.414200799486534
263.6222306356415	4.3847812579725196e-09	3.935536680251102	6.573157528328233e-11	3.935536680340617	6.119686525721515e-11	0.05897710217145284	9.172462025639053e-13	0	0.30791338352743064	1.1493681578774095	-0.2231699694529804	0.11191190218839933	0.1119118950659469	0.30791652811937037	0.2231699694529804	0.003999999999999995	0.2	0.2	0.2	0.2	3.365029087213313
262.05881560659964	6.95900095628149e-10	5.953160752619589	1.589396618644455e-11	5.953160752747315	1.5330874909842733e-11	0.1357578353742026	3.502470827309664e-13	0	0.31226626519331235	1.1822285284959129	-0.22784496355491757	0.11424994606999789	0.11424993929995216	0.31226808502929126	0.22784496355491757	0.0059999999999999915	0.2	0.2	0.2	0.2	3.3165857883409826
261.26839188240007	1.8313603280227126e-09	8.028075436362895	5.654197014712954e-11	8.02807543654757	5.564398517858846e-11	0.24763420358313976	1.7181201318397566e-12	0	0.31667806297553575	1.2160174549910678	-0.23265264582533163	0.1166543162389268	0.1166543097422091	0.3166792367985087	0.23265264582533163	0.007999999999999998	0.2	0.2	0.2	0.2	3.268869755322983
260.77375491052334	9.201142594615648e-10	10.160954774866966	3.604748934102445e-11	10.160954775104537	4.018903948078614e-11	0.3974514961118376	1.5758495821423198e-12	0	0.32114911084378295	1.2507570799526073	-0.23759682111093453	0.11912691536084116	0.11912690918076188	0.32114991015380395	0.23759682111093453	0.009999999999999997	0.2	0.2	0.2	0.2	3.221879386647624
259.65529525535106	7.552432494484503e-10	15.730120978290515	4.5865442700401003e-11	15.730120978682947	4.747446413293809e-11	0.9566576435062509	2.8866639134108183e-12	0	0.33258572803673037	1.3418988668211134	-0.2505800182100279	0.12561972039053707	0.12561971482206705	0.33258606070030544	0.2505800182100279	0.015000000000000005	0.2	0.2	0.20000000000000004	0.20000000000000004	3.1075637029740606
257.73003096566123	2.3412080680165312e-09	21.575734995792715	1.96861254861066e-10	21.575734996310697	2.043758381662352e-10	1.8133115370859048	1.7198820894200085e-11	0	0.344390036478439	1.4394190842036456	-0.26450331402272736	0.13258247868722578	0.13258247369806067	0.34439016427438207	0.26450331402272736	0.019999999999999993	0.2	0.2	0.2	0.2	2.997725422294234
